model,fish_id,view,frame,img_path,confidence,x1,y1,x2,y2,box_w_px,box_h_px,img_w,img_h,num_detections
YOLO12m,fish01,front,154,C:\Users\shain\Downloads\FISH DATASET\frames\fraes\fish01_frames\fish01-frontview-frame-154.jpg,0.8001,355.2,193.4,439.2,284.7,84.0,91.3,640,480,1
YOLO12m,fish01,front,155,C:\Users\shain\Downloads\FISH DATASET\frames\fraes\fish01_frames\fish01-frontview-frame-155.jpg,0.8015,355.3,193.4,439.8,284.9,84.5,91.5,640,480,1
YOLO12m,fish01,front,156,C:\Users\shain\Downloads\FISH DATASET\frames\fraes\fish01_frames\fish01-frontview-frame-156.jpg,0.7936,355.3,192.7,440.8,284.8,85.6,92.1,640,480,1
YOLO12m,fish01,front,157,C:\Users\shain\Downloads\FISH DATASET\frames\fraes\fish01_frames\fish01-frontview-frame-157.jpg,0.7947,355.3,192.8,440.9,284.8,85.6,91.9,640,480,1
YOLO12m,fish01,front,158,C:\Users\shain\Downloads\FISH DATASET\frames\fraes\fish01_frames\fish01-frontview-frame-158.jpg,0.8025,356.1,192.9,441.5,284.2,85.4,91.3,640,480,1
YOLO12m,fish01,front,159,C:\Users\shain\Downloads\FISH DATASET\frames\fraes\fish01_frames\fish01-frontview-frame-159.jpg,0.8024,356.7,191.8,443.0,283.8,86.2,92.0,640,480,1
YOLO12m,fish01,front,160,C:\Users\shain\Downloads\FISH DATASET\frames\fraes\fish01_frames\fish01-frontview-frame-160.jpg,0.8107,357.3,191.8,444.1,283.2,86.8,91.4,640,480,1
YOLO12m,fish01,front,161,C:\Users\shain\Downloads\FISH DATASET\frames\fraes\fish01_frames\fish01-frontview-frame-161.jpg,0.8155,357.0,191.8,448.0,283.6,91.0,91.9,640,480,1
YOLO12m,fish01,front,162,C:\Users\shain\Downloads\FISH DATASET\frames\fraes\fish01_frames\fish01-frontview-frame-162.jpg,0.824,357.4,192.6,449.1,283.7,91.7,91.1,640,480,1
YOLO12m,fish01,front,163,C:\Users\shain\Downloads\FISH DATASET\frames\fraes\fish01_frames\fish01-frontview-frame-163.jpg,0.8095,358.2,191.5,450.7,283.7,92.5,92.3,640,480,1
YOLO12m,fish01,front,164,C:\Users\shain\Downloads\FISH DATASET\frames\fraes\fish01_frames\fish01-frontview-frame-164.jpg,0.8092,358.3,191.0,449.9,283.7,91.6,92.7,640,480,1
YOLO12m,fish01,front,165,C:\Users\shain\Downloads\FISH DATASET\frames\fraes\fish01_frames\fish01-frontview-frame-165.jpg,0.8026,359.3,190.5,450.0,283.6,90.7,93.0,640,480,1
YOLO12m,fish01,front,166,C:\Users\shain\Downloads\FISH DATASET\frames\fraes\fish01_frames\fish01-frontview-frame-166.jpg,0.7825,360.6,190.4,454.2,283.3,93.6,92.9,640,480,1
YOLO12m,fish01,front,167,C:\Users\shain\Downloads\FISH DATASET\frames\fraes\fish01_frames\fish01-frontview-frame-167.jpg,0.7634,362.3,190.0,455.7,283.0,93.4,92.9,640,480,1
YOLO12m,fish01,front,168,C:\Users\shain\Downloads\FISH DATASET\frames\fraes\fish01_frames\fish01-frontview-frame-168.jpg,0.7585,362.9,190.6,455.0,282.1,92.1,91.5,640,480,1
YOLO12m,fish01,front,169,C:\Users\shain\Downloads\FISH DATASET\frames\fraes\fish01_frames\fish01-frontview-frame-169.jpg,0.7646,368.1,191.7,459.2,281.9,91.1,90.2,640,480,1
YOLO12m,fish01,front,170,C:\Users\shain\Downloads\FISH DATASET\frames\fraes\fish01_frames\fish01-frontview-frame-170.jpg,0.7812,368.6,192.0,463.3,282.2,94.8,90.2,640,480,1
YOLO12m,fish01,front,171,C:\Users\shain\Downloads\FISH DATASET\frames\fraes\fish01_frames\fish01-frontview-frame-171.jpg,0.7624,371.4,191.9,463.0,281.5,91.6,89.6,640,480,1
YOLO12m,fish01,front,172,C:\Users\shain\Downloads\FISH DATASET\frames\fraes\fish01_frames\fish01-frontview-frame-172.jpg,0.8003,373.1,193.0,469.5,281.0,96.4,87.9,640,480,1
YOLO12m,fish01,front,173,C:\Users\shain\Downloads\FISH DATASET\frames\fraes\fish01_frames\fish01-frontview-frame-173.jpg,0.7845,378.7,195.7,478.4,280.6,99.7,84.9,640,480,1
YOLO12m,fish01,front,174,C:\Users\shain\Downloads\FISH DATASET\frames\fraes\fish01_frames\fish01-frontview-frame-174.jpg,0.7937,383.4,197.0,481.8,281.5,98.5,84.5,640,480,1
YOLO12m,fish01,front,175,C:\Users\shain\Downloads\FISH DATASET\frames\fraes\fish01_frames\fish01-frontview-frame-175.jpg,0.7879,384.7,195.7,483.0,280.8,98.3,85.2,640,480,1
YOLO12m,fish01,front,176,C:\Users\shain\Downloads\FISH DATASET\frames\fraes\fish01_frames\fish01-frontview-frame-176.jpg,0.7941,383.6,195.5,484.7,280.4,101.1,85.0,640,480,1
YOLO12m,fish01,front,177,C:\Users\shain\Downloads\FISH DATASET\frames\fraes\fish01_frames\fish01-frontview-frame-177.jpg,0.8053,385.0,196.5,486.6,280.6,101.6,84.1,640,480,1
YOLO12m,fish01,front,178,C:\Users\shain\Downloads\FISH DATASET\frames\fraes\fish01_frames\fish01-frontview-frame-178.jpg,0.8414,386.2,197.5,487.2,280.3,100.9,82.8,640,480,1
YOLO12m,fish01,front,179,C:\Users\shain\Downloads\FISH DATASET\frames\fraes\fish01_frames\fish01-frontview-frame-179.jpg,0.841,387.3,197.7,487.0,280.0,99.6,82.3,640,480,1
YOLO12m,fish01,front,180,C:\Users\shain\Downloads\FISH DATASET\frames\fraes\fish01_frames\fish01-frontview-frame-180.jpg,0.831,387.8,197.9,486.5,280.3,98.7,82.4,640,480,1
YOLO12m,fish01,front,181,C:\Users\shain\Downloads\FISH DATASET\frames\fraes\fish01_frames\fish01-frontview-frame-181.jpg,0.8434,390.0,198.3,486.9,278.6,96.9,80.3,640,480,1
YOLO12m,fish01,front,182,C:\Users\shain\Downloads\FISH DATASET\frames\fraes\fish01_frames\fish01-frontview-frame-182.jpg,0.8564,392.1,199.5,487.6,278.7,95.4,79.2,640,480,1
YOLO12m,fish01,front,183,C:\Users\shain\Downloads\FISH DATASET\frames\fraes\fish01_frames\fish01-frontview-frame-183.jpg,0.86,391.5,199.4,488.4,280.9,96.9,81.5,640,480,1
YOLO12m,fish01,front,184,C:\Users\shain\Downloads\FISH DATASET\frames\fraes\fish01_frames\fish01-frontview-frame-184.jpg,0.8667,392.3,199.4,488.6,281.0,96.3,81.6,640,480,1
YOLO12m,fish01,front,185,C:\Users\shain\Downloads\FISH DATASET\frames\fraes\fish01_frames\fish01-frontview-frame-185.jpg,0.8492,391.4,199.3,488.3,281.2,96.9,82.0,640,480,1
YOLO12m,fish01,front,186,C:\Users\shain\Downloads\FISH DATASET\frames\fraes\fish01_frames\fish01-frontview-frame-186.jpg,0.8417,391.1,199.3,489.5,282.5,98.4,83.2,640,480,1
YOLO12m,fish01,front,187,C:\Users\shain\Downloads\FISH DATASET\frames\fraes\fish01_frames\fish01-frontview-frame-187.jpg,0.8392,391.6,199.4,490.3,282.8,98.6,83.4,640,480,1
YOLO12m,fish01,front,188,C:\Users\shain\Downloads\FISH DATASET\frames\fraes\fish01_frames\fish01-frontview-frame-188.jpg,0.8389,392.7,201.6,490.2,283.8,97.5,82.2,640,480,1
YOLO12m,fish01,front,189,C:\Users\shain\Downloads\FISH DATASET\frames\fraes\fish01_frames\fish01-frontview-frame-189.jpg,0.8182,392.4,200.3,490.6,284.1,98.2,83.8,640,480,1
YOLO12m,fish01,front,190,C:\Users\shain\Downloads\FISH DATASET\frames\fraes\fish01_frames\fish01-frontview-frame-190.jpg,0.8378,393.4,202.1,490.6,283.8,97.2,81.6,640,480,1
YOLO12m,fish01,front,191,C:\Users\shain\Downloads\FISH DATASET\frames\fraes\fish01_frames\fish01-frontview-frame-191.jpg,0.8423,395.0,202.7,492.3,285.0,97.3,82.3,640,480,1
YOLO12m,fish01,front,192,C:\Users\shain\Downloads\FISH DATASET\frames\fraes\fish01_frames\fish01-frontview-frame-192.jpg,0.837,395.7,202.4,490.8,285.9,95.0,83.4,640,480,1
YOLO12m,fish01,front,193,C:\Users\shain\Downloads\FISH DATASET\frames\fraes\fish01_frames\fish01-frontview-frame-193.jpg,0.8517,395.4,204.6,489.1,285.3,93.7,80.7,640,480,1
YOLO12m,fish01,front,3417,C:\Users\shain\Downloads\FISH DATASET\frames\fraes\fish01_frames\fish01-frontview-frame-3417.jpg,0.8483,338.5,163.6,447.0,248.5,108.5,84.9,640,480,1
YOLO12m,fish01,front,3418,C:\Users\shain\Downloads\FISH DATASET\frames\fraes\fish01_frames\fish01-frontview-frame-3418.jpg,0.8761,339.8,163.4,450.6,249.4,110.8,86.0,640,480,1
YOLO12m,fish01,front,3419,C:\Users\shain\Downloads\FISH DATASET\frames\fraes\fish01_frames\fish01-frontview-frame-3419.jpg,0.878,341.0,163.5,450.0,248.9,109.1,85.5,640,480,1
YOLO12m,fish01,front,3420,C:\Users\shain\Downloads\FISH DATASET\frames\fraes\fish01_frames\fish01-frontview-frame-3420.jpg,0.8653,340.9,163.2,448.4,248.8,107.5,85.6,640,480,1
YOLO12m,fish01,front,3421,C:\Users\shain\Downloads\FISH DATASET\frames\fraes\fish01_frames\fish01-frontview-frame-3421.jpg,0.8478,342.9,163.7,450.5,250.0,107.6,86.3,640,480,1
YOLO12m,fish01,front,3422,C:\Users\shain\Downloads\FISH DATASET\frames\fraes\fish01_frames\fish01-frontview-frame-3422.jpg,0.8277,341.9,163.7,452.1,250.6,110.2,86.9,640,480,1
YOLO12m,fish01,front,3423,C:\Users\shain\Downloads\FISH DATASET\frames\fraes\fish01_frames\fish01-frontview-frame-3423.jpg,0.8401,341.7,163.2,453.0,251.4,111.4,88.2,640,480,1
YOLO12m,fish01,front,3424,C:\Users\shain\Downloads\FISH DATASET\frames\fraes\fish01_frames\fish01-frontview-frame-3424.jpg,0.7964,342.7,163.8,451.0,251.9,108.3,88.1,640,480,1
YOLO12m,fish01,front,3425,C:\Users\shain\Downloads\FISH DATASET\frames\fraes\fish01_frames\fish01-frontview-frame-3425.jpg,0.8112,342.6,163.6,454.4,252.2,111.8,88.6,640,480,1
YOLO12m,fish01,front,3426,C:\Users\shain\Downloads\FISH DATASET\frames\fraes\fish01_frames\fish01-frontview-frame-3426.jpg,0.8258,345.6,162.6,457.6,250.9,112.1,88.3,640,480,1
YOLO12m,fish01,front,3427,C:\Users\shain\Downloads\FISH DATASET\frames\fraes\fish01_frames\fish01-frontview-frame-3427.jpg,0.809,344.9,163.7,459.5,251.0,114.6,87.4,640,480,1
YOLO12m,fish01,front,3428,C:\Users\shain\Downloads\FISH DATASET\frames\fraes\fish01_frames\fish01-frontview-frame-3428.jpg,0.8366,346.2,164.2,459.0,251.4,112.8,87.2,640,480,1
YOLO12m,fish01,front,3429,C:\Users\shain\Downloads\FISH DATASET\frames\fraes\fish01_frames\fish01-frontview-frame-3429.jpg,0.8252,346.0,163.6,460.5,252.4,114.6,88.8,640,480,1
YOLO12m,fish01,front,3430,C:\Users\shain\Downloads\FISH DATASET\frames\fraes\fish01_frames\fish01-frontview-frame-3430.jpg,0.8424,348.0,164.4,460.8,252.0,112.8,87.6,640,480,1
YOLO12m,fish01,front,3431,C:\Users\shain\Downloads\FISH DATASET\frames\fraes\fish01_frames\fish01-frontview-frame-3431.jpg,0.8755,351.7,164.1,463.2,251.4,111.5,87.3,640,480,1
YOLO12m,fish01,front,3432,C:\Users\shain\Downloads\FISH DATASET\frames\fraes\fish01_frames\fish01-frontview-frame-3432.jpg,0.8783,353.6,164.0,463.6,251.4,110.0,87.4,640,480,1
YOLO12m,fish01,front,3433,C:\Users\shain\Downloads\FISH DATASET\frames\fraes\fish01_frames\fish01-frontview-frame-3433.jpg,0.8771,357.2,163.0,464.4,251.4,107.2,88.4,640,480,1
YOLO12m,fish01,front,3434,C:\Users\shain\Downloads\FISH DATASET\frames\fraes\fish01_frames\fish01-frontview-frame-3434.jpg,0.8914,358.4,163.3,464.5,249.9,106.1,86.6,640,480,1
YOLO12m,fish01,front,3435,C:\Users\shain\Downloads\FISH DATASET\frames\fraes\fish01_frames\fish01-frontview-frame-3435.jpg,0.8922,357.1,162.6,464.8,250.1,107.7,87.5,640,480,1
YOLO12m,fish01,front,3436,C:\Users\shain\Downloads\FISH DATASET\frames\fraes\fish01_frames\fish01-frontview-frame-3436.jpg,0.8881,359.1,162.4,465.6,249.9,106.5,87.6,640,480,1
YOLO12m,fish01,front,3437,C:\Users\shain\Downloads\FISH DATASET\frames\fraes\fish01_frames\fish01-frontview-frame-3437.jpg,0.888,361.3,162.4,464.4,249.7,103.1,87.3,640,480,1
YOLO12m,fish01,front,3438,C:\Users\shain\Downloads\FISH DATASET\frames\fraes\fish01_frames\fish01-frontview-frame-3438.jpg,0.8855,361.3,162.7,464.4,250.3,103.0,87.6,640,480,1
YOLO12m,fish01,front,3439,C:\Users\shain\Downloads\FISH DATASET\frames\fraes\fish01_frames\fish01-frontview-frame-3439.jpg,0.8824,364.1,163.7,465.4,250.7,101.3,86.9,640,480,1
YOLO12m,fish01,front,3440,C:\Users\shain\Downloads\FISH DATASET\frames\fraes\fish01_frames\fish01-frontview-frame-3440.jpg,0.8629,363.6,163.3,466.7,251.0,103.1,87.6,640,480,1
YOLO12m,fish01,front,3441,C:\Users\shain\Downloads\FISH DATASET\frames\fraes\fish01_frames\fish01-frontview-frame-3441.jpg,0.8828,363.6,163.1,466.6,251.3,103.1,88.2,640,480,1
YOLO12m,fish01,front,3442,C:\Users\shain\Downloads\FISH DATASET\frames\fraes\fish01_frames\fish01-frontview-frame-3442.jpg,0.8845,364.7,163.2,466.5,252.2,101.8,89.0,640,480,1
YOLO12m,fish01,front,3443,C:\Users\shain\Downloads\FISH DATASET\frames\fraes\fish01_frames\fish01-frontview-frame-3443.jpg,0.886,364.2,163.5,466.6,251.9,102.4,88.4,640,480,1
YOLO12m,fish01,front,3444,C:\Users\shain\Downloads\FISH DATASET\frames\fraes\fish01_frames\fish01-frontview-frame-3444.jpg,0.8849,366.4,163.7,466.0,252.1,99.6,88.3,640,480,1
YOLO12m,fish01,front,3445,C:\Users\shain\Downloads\FISH DATASET\frames\fraes\fish01_frames\fish01-frontview-frame-3445.jpg,0.8925,367.4,164.0,465.6,251.7,98.3,87.6,640,480,1
YOLO12m,fish01,front,3446,C:\Users\shain\Downloads\FISH DATASET\frames\fraes\fish01_frames\fish01-frontview-frame-3446.jpg,0.8695,368.2,165.1,466.6,253.4,98.4,88.3,640,480,1
YOLO12m,fish01,front,3447,C:\Users\shain\Downloads\FISH DATASET\frames\fraes\fish01_frames\fish01-frontview-frame-3447.jpg,0.854,367.0,165.1,470.2,251.0,103.2,85.9,640,480,1
YOLO12m,fish01,front,3448,C:\Users\shain\Downloads\FISH DATASET\frames\fraes\fish01_frames\fish01-frontview-frame-3448.jpg,0.8555,367.0,165.0,470.2,251.0,103.2,86.0,640,480,1
YOLO12m,fish01,front,3449,C:\Users\shain\Downloads\FISH DATASET\frames\fraes\fish01_frames\fish01-frontview-frame-3449.jpg,0.859,367.1,165.1,470.5,251.5,103.3,86.4,640,480,1
YOLO12m,fish01,front,3450,C:\Users\shain\Downloads\FISH DATASET\frames\fraes\fish01_frames\fish01-frontview-frame-3450.jpg,0.8657,367.3,165.2,469.9,251.3,102.5,86.1,640,480,1
YOLO12m,fish01,front,3451,C:\Users\shain\Downloads\FISH DATASET\frames\fraes\fish01_frames\fish01-frontview-frame-3451.jpg,0.8559,368.8,165.2,469.9,252.7,101.1,87.5,640,480,1
YOLO12m,fish01,front,3452,C:\Users\shain\Downloads\FISH DATASET\frames\fraes\fish01_frames\fish01-frontview-frame-3452.jpg,0.8564,367.8,166.0,469.7,252.6,101.9,86.6,640,480,1
YOLO12m,fish01,front,3453,C:\Users\shain\Downloads\FISH DATASET\frames\fraes\fish01_frames\fish01-frontview-frame-3453.jpg,0.8451,367.3,166.1,469.5,253.5,102.1,87.3,640,480,1
YOLO12m,fish01,front,3454,C:\Users\shain\Downloads\FISH DATASET\frames\fraes\fish01_frames\fish01-frontview-frame-3454.jpg,0.8249,368.1,167.0,469.1,254.8,100.9,87.9,640,480,1
YOLO12m,fish01,front,3455,C:\Users\shain\Downloads\FISH DATASET\frames\fraes\fish01_frames\fish01-frontview-frame-3455.jpg,0.8384,368.7,167.3,467.9,256.1,99.2,88.9,640,480,1
YOLO12m,fish01,front,3456,C:\Users\shain\Downloads\FISH DATASET\frames\fraes\fish01_frames\fish01-frontview-frame-3456.jpg,0.8255,368.7,166.0,468.0,257.5,99.3,91.6,640,480,1
YOLO12m,fish01,front,3457,C:\Users\shain\Downloads\FISH DATASET\frames\fraes\fish01_frames\fish01-frontview-frame-3457.jpg,0.804,368.9,166.2,467.4,259.1,98.5,92.9,640,480,1
YOLO12m,fish01,front,3458,C:\Users\shain\Downloads\FISH DATASET\frames\fraes\fish01_frames\fish01-frontview-frame-3458.jpg,0.8208,370.1,166.7,467.7,258.9,97.7,92.3,640,480,1
YOLO12m,fish01,front,3459,C:\Users\shain\Downloads\FISH DATASET\frames\fraes\fish01_frames\fish01-frontview-frame-3459.jpg,0.8043,370.1,167.2,464.2,259.4,94.2,92.2,640,480,1
YOLO12m,fish01,front,3460,C:\Users\shain\Downloads\FISH DATASET\frames\fraes\fish01_frames\fish01-frontview-frame-3460.jpg,0.8202,370.9,167.5,464.5,259.2,93.6,91.7,640,480,1
YOLO12m,fish01,front,3461,C:\Users\shain\Downloads\FISH DATASET\frames\fraes\fish01_frames\fish01-frontview-frame-3461.jpg,0.7954,371.0,168.9,462.4,260.1,91.4,91.3,640,480,1
YOLO12m,fish01,front,3462,C:\Users\shain\Downloads\FISH DATASET\frames\fraes\fish01_frames\fish01-frontview-frame-3462.jpg,0.8275,369.5,170.3,464.2,261.6,94.7,91.3,640,480,1
YOLO12m,fish01,front,3463,C:\Users\shain\Downloads\FISH DATASET\frames\fraes\fish01_frames\fish01-frontview-frame-3463.jpg,0.8352,370.7,171.2,463.3,262.2,92.6,91.0,640,480,1
YOLO12m,fish01,front,3464,C:\Users\shain\Downloads\FISH DATASET\frames\fraes\fish01_frames\fish01-frontview-frame-3464.jpg,0.8347,371.9,170.3,462.1,262.3,90.2,92.0,640,480,1
YOLO12m,fish01,front,3465,C:\Users\shain\Downloads\FISH DATASET\frames\fraes\fish01_frames\fish01-frontview-frame-3465.jpg,0.8567,373.3,170.2,463.3,262.7,89.9,92.5,640,480,1
YOLO12m,fish01,front,3466,C:\Users\shain\Downloads\FISH DATASET\frames\fraes\fish01_frames\fish01-frontview-frame-3466.jpg,0.8423,376.4,170.5,461.7,263.0,85.3,92.4,640,480,1
YOLO12m,fish01,front,3467,C:\Users\shain\Downloads\FISH DATASET\frames\fraes\fish01_frames\fish01-frontview-frame-3467.jpg,0.8339,379.4,172.6,459.9,261.7,80.5,89.0,640,480,1
YOLO12m,fish01,front,3468,C:\Users\shain\Downloads\FISH DATASET\frames\fraes\fish01_frames\fish01-frontview-frame-3468.jpg,0.8396,380.3,174.8,460.1,261.8,79.8,87.0,640,480,1
YOLO12m,fish01,top,144,C:\Users\shain\Downloads\FISH DATASET\frames\fraes\fish01_frames\fish01-topview-frame-144.jpg,0.7534,348.2,219.2,399.6,273.3,51.3,54.1,640,360,1
YOLO12m,fish01,top,145,C:\Users\shain\Downloads\FISH DATASET\frames\fraes\fish01_frames\fish01-topview-frame-145.jpg,0.7235,348.3,223.0,400.0,270.7,51.7,47.7,640,360,1
YOLO12m,fish01,top,146,C:\Users\shain\Downloads\FISH DATASET\frames\fraes\fish01_frames\fish01-topview-frame-146.jpg,0.77,350.0,223.3,401.5,271.0,51.5,47.6,640,360,1
YOLO12m,fish01,top,147,C:\Users\shain\Downloads\FISH DATASET\frames\fraes\fish01_frames\fish01-topview-frame-147.jpg,0.7725,350.6,221.2,401.8,271.0,51.2,49.8,640,360,1
YOLO12m,fish01,top,148,C:\Users\shain\Downloads\FISH DATASET\frames\fraes\fish01_frames\fish01-topview-frame-148.jpg,0.7566,350.6,224.3,403.1,271.7,52.4,47.4,640,360,1
YOLO12m,fish01,top,149,C:\Users\shain\Downloads\FISH DATASET\frames\fraes\fish01_frames\fish01-topview-frame-149.jpg,0.7483,350.5,224.8,404.9,273.5,54.3,48.6,640,360,1
YOLO12m,fish01,top,150,C:\Users\shain\Downloads\FISH DATASET\frames\fraes\fish01_frames\fish01-topview-frame-150.jpg,0.7251,353.0,240.1,413.8,272.7,60.8,32.6,640,360,1
YOLO12m,fish01,top,151,C:\Users\shain\Downloads\FISH DATASET\frames\fraes\fish01_frames\fish01-topview-frame-151.jpg,0.7209,353.6,239.4,413.6,273.0,60.0,33.6,640,360,1
YOLO12m,fish01,top,152,C:\Users\shain\Downloads\FISH DATASET\frames\fraes\fish01_frames\fish01-topview-frame-152.jpg,0.7321,353.3,242.3,413.2,272.7,60.0,30.4,640,360,1
YOLO12m,fish01,top,153,C:\Users\shain\Downloads\FISH DATASET\frames\fraes\fish01_frames\fish01-topview-frame-153.jpg,0.7482,354.0,242.0,416.4,272.2,62.4,30.3,640,360,1
YOLO12m,fish01,top,154,C:\Users\shain\Downloads\FISH DATASET\frames\fraes\fish01_frames\fish01-topview-frame-154.jpg,0.7718,354.9,242.1,420.0,273.7,65.1,31.5,640,360,1
YOLO12m,fish01,top,155,C:\Users\shain\Downloads\FISH DATASET\frames\fraes\fish01_frames\fish01-topview-frame-155.jpg,0.6828,355.6,238.1,416.9,275.1,61.3,37.0,640,360,1
YOLO12m,fish01,top,156,C:\Users\shain\Downloads\FISH DATASET\frames\fraes\fish01_frames\fish01-topview-frame-156.jpg,0.6988,355.2,238.7,416.7,275.3,61.5,36.5,640,360,1
YOLO12m,fish01,top,157,C:\Users\shain\Downloads\FISH DATASET\frames\fraes\fish01_frames\fish01-topview-frame-157.jpg,0.7177,356.9,242.0,417.6,276.5,60.7,34.6,640,360,1
YOLO12m,fish01,top,158,C:\Users\shain\Downloads\FISH DATASET\frames\fraes\fish01_frames\fish01-topview-frame-158.jpg,0.7048,354.9,241.1,420.8,276.1,66.0,35.0,640,360,1
YOLO12m,fish01,top,159,C:\Users\shain\Downloads\FISH DATASET\frames\fraes\fish01_frames\fish01-topview-frame-159.jpg,0.7121,358.2,240.3,429.6,277.2,71.4,36.9,640,360,1
YOLO12m,fish01,top,160,C:\Users\shain\Downloads\FISH DATASET\frames\fraes\fish01_frames\fish01-topview-frame-160.jpg,0.7346,358.4,241.3,428.8,277.5,70.4,36.2,640,360,1
YOLO12m,fish01,top,161,C:\Users\shain\Downloads\FISH DATASET\frames\fraes\fish01_frames\fish01-topview-frame-161.jpg,0.7742,359.5,242.4,430.3,278.6,70.9,36.2,640,360,1
YOLO12m,fish01,top,162,C:\Users\shain\Downloads\FISH DATASET\frames\fraes\fish01_frames\fish01-topview-frame-162.jpg,0.7549,358.5,242.0,429.6,278.7,71.1,36.7,640,360,1
YOLO12m,fish01,top,163,C:\Users\shain\Downloads\FISH DATASET\frames\fraes\fish01_frames\fish01-topview-frame-163.jpg,0.6837,340.7,241.1,430.6,279.1,89.9,38.0,640,360,1
YOLO12m,fish01,top,164,C:\Users\shain\Downloads\FISH DATASET\frames\fraes\fish01_frames\fish01-topview-frame-164.jpg,0.7046,341.7,241.3,432.1,278.8,90.5,37.5,640,360,1
YOLO12m,fish01,top,165,C:\Users\shain\Downloads\FISH DATASET\frames\fraes\fish01_frames\fish01-topview-frame-165.jpg,0.7232,355.4,240.9,430.8,282.8,75.4,41.9,640,360,1
YOLO12m,fish01,top,166,C:\Users\shain\Downloads\FISH DATASET\frames\fraes\fish01_frames\fish01-topview-frame-166.jpg,0.7952,362.5,240.4,431.1,283.4,68.6,43.0,640,360,1
YOLO12m,fish01,top,167,C:\Users\shain\Downloads\FISH DATASET\frames\fraes\fish01_frames\fish01-topview-frame-167.jpg,0.8155,362.0,240.2,428.8,283.6,66.8,43.4,640,360,1
YOLO12m,fish01,top,168,C:\Users\shain\Downloads\FISH DATASET\frames\fraes\fish01_frames\fish01-topview-frame-168.jpg,0.8163,362.2,239.6,427.8,283.7,65.6,44.1,640,360,1
YOLO12m,fish01,top,169,C:\Users\shain\Downloads\FISH DATASET\frames\fraes\fish01_frames\fish01-topview-frame-169.jpg,0.808,362.6,240.7,428.4,283.8,65.8,43.1,640,360,1
YOLO12m,fish01,top,170,C:\Users\shain\Downloads\FISH DATASET\frames\fraes\fish01_frames\fish01-topview-frame-170.jpg,0.819,361.2,240.3,426.9,283.9,65.6,43.6,640,360,1
YOLO12m,fish01,top,171,C:\Users\shain\Downloads\FISH DATASET\frames\fraes\fish01_frames\fish01-topview-frame-171.jpg,0.833,360.3,240.1,425.0,284.7,64.7,44.7,640,360,1
YOLO12m,fish01,top,172,C:\Users\shain\Downloads\FISH DATASET\frames\fraes\fish01_frames\fish01-topview-frame-172.jpg,0.8247,362.0,238.2,423.7,284.9,61.7,46.7,640,360,1
YOLO12m,fish01,top,173,C:\Users\shain\Downloads\FISH DATASET\frames\fraes\fish01_frames\fish01-topview-frame-173.jpg,0.8315,365.0,238.8,423.5,285.0,58.4,46.2,640,360,1
YOLO12m,fish01,top,174,C:\Users\shain\Downloads\FISH DATASET\frames\fraes\fish01_frames\fish01-topview-frame-174.jpg,0.8213,366.8,239.1,422.2,285.7,55.5,46.6,640,360,1
YOLO12m,fish01,top,175,C:\Users\shain\Downloads\FISH DATASET\frames\fraes\fish01_frames\fish01-topview-frame-175.jpg,0.8063,368.7,239.3,421.7,286.2,53.1,46.8,640,360,1
